[Version1]
FullName,Value
Controller.Micro850.Micro850.__SYSVA_ABORT_CYCLE,FALSE
Controller.Micro850.Micro850.__SYSVA_CCEXEC,FALSE
Controller.Micro850.Micro850.__SYSVA_CYCLECNT,5955402
Controller.Micro850.Micro850.__SYSVA_CYCLEDATE,T#4h40m15s759ms
Controller.Micro850.Micro850.__SYSVA_FIRST_SCAN,FALSE
Controller.Micro850.Micro850.__SYSVA_KVBCERR,FALSE
Controller.Micro850.Micro850.__SYSVA_KVBPERR,FALSE
Controller.Micro850.Micro850.__SYSVA_MAJ_ERR_HALT,TRUE
Controller.Micro850.Micro850.__SYSVA_POWERUP_BIT,FALSE
Controller.Micro850.Micro850.__SYSVA_PROJ_INCOMPLETE,0
Controller.Micro850.Micro850.__SYSVA_REMOTE,TRUE
Controller.Micro850.Micro850.__SYSVA_RESMODE,8
Controller.Micro850.Micro850.__SYSVA_RESNAME,'CONTROLLER\MICRO830\MICRO830'
Controller.Micro850.Micro850.__SYSVA_SCANCNT,5955402
Controller.Micro850.Micro850.__SYSVA_SUSPEND_ID,0
Controller.Micro850.Micro850.__SYSVA_TCYCURRENT,T#2s4ms
Controller.Micro850.Micro850.__SYSVA_TCYCYCTIME,T#0s
Controller.Micro850.Micro850.__SYSVA_TCYMAXIMUM,T#2s4ms
Controller.Micro850.Micro850.__SYSVA_TCYOVERFLOW,0
Controller.Micro850.Micro850.__SYSVA_TCYWDG,2000
Controller.Micro850.Micro850.__SYSVA_USER_DATA_LOST,FALSE
Controller.Micro850.Micro850._IO_EM_DI_00,FALSE
Controller.Micro850.Micro850._IO_EM_DI_01,FALSE
Controller.Micro850.Micro850._IO_EM_DI_02,FALSE
Controller.Micro850.Micro850._IO_EM_DI_03,FALSE
Controller.Micro850.Micro850._IO_EM_DI_04,FALSE
Controller.Micro850.Micro850._IO_EM_DI_05,FALSE
Controller.Micro850.Micro850._IO_EM_DI_06,FALSE
Controller.Micro850.Micro850._IO_EM_DI_07,FALSE
Controller.Micro850.Micro850._IO_EM_DI_08,FALSE
Controller.Micro850.Micro850._IO_EM_DI_09,FALSE
Controller.Micro850.Micro850._IO_EM_DI_10,FALSE
Controller.Micro850.Micro850._IO_EM_DI_11,FALSE
Controller.Micro850.Micro850._IO_EM_DI_12,FALSE
Controller.Micro850.Micro850._IO_EM_DI_13,FALSE
Controller.Micro850.Micro850._IO_EM_DI_14,
Controller.Micro850.Micro850._IO_EM_DI_15,
Controller.Micro850.Micro850._IO_EM_DI_16,
Controller.Micro850.Micro850._IO_EM_DI_17,
Controller.Micro850.Micro850._IO_EM_DI_18,
Controller.Micro850.Micro850._IO_EM_DI_19,
Controller.Micro850.Micro850._IO_EM_DI_20,
Controller.Micro850.Micro850._IO_EM_DI_21,
Controller.Micro850.Micro850._IO_EM_DI_22,
Controller.Micro850.Micro850._IO_EM_DI_23,
Controller.Micro850.Micro850._IO_EM_DI_24,
Controller.Micro850.Micro850._IO_EM_DI_25,
Controller.Micro850.Micro850._IO_EM_DI_26,
Controller.Micro850.Micro850._IO_EM_DI_27,
Controller.Micro850.Micro850._IO_EM_DO_00,FALSE
Controller.Micro850.Micro850._IO_EM_DO_01,FALSE
Controller.Micro850.Micro850._IO_EM_DO_02,FALSE
Controller.Micro850.Micro850._IO_EM_DO_03,FALSE
Controller.Micro850.Micro850._IO_EM_DO_04,FALSE
Controller.Micro850.Micro850._IO_EM_DO_05,FALSE
Controller.Micro850.Micro850._IO_EM_DO_06,FALSE
Controller.Micro850.Micro850._IO_EM_DO_07,FALSE
Controller.Micro850.Micro850._IO_EM_DO_08,FALSE
Controller.Micro850.Micro850._IO_EM_DO_09,FALSE
Controller.Micro850.Micro850._IO_EM_DO_10,
Controller.Micro850.Micro850._IO_EM_DO_11,
Controller.Micro850.Micro850._IO_EM_DO_12,
Controller.Micro850.Micro850._IO_EM_DO_13,
Controller.Micro850.Micro850._IO_EM_DO_14,
Controller.Micro850.Micro850._IO_EM_DO_15,
Controller.Micro850.Micro850._IO_EM_DO_16,
Controller.Micro850.Micro850._IO_EM_DO_17,
Controller.Micro850.Micro850._IO_EM_DO_18,
Controller.Micro850.Micro850._IO_EM_DO_19,
"Controller.Micro850.Micro850.bNewTile[0,0]",
"Controller.Micro850.Micro850.bNewTile[0,1]",
"Controller.Micro850.Micro850.bNewTile[0,2]",
"Controller.Micro850.Micro850.bNewTile[0,3]",
"Controller.Micro850.Micro850.bNewTile[1,0]",
"Controller.Micro850.Micro850.bNewTile[1,1]",
"Controller.Micro850.Micro850.bNewTile[1,2]",
"Controller.Micro850.Micro850.bNewTile[1,3]",
"Controller.Micro850.Micro850.bNewTile[2,0]",
"Controller.Micro850.Micro850.bNewTile[2,1]",
"Controller.Micro850.Micro850.bNewTile[2,2]",
"Controller.Micro850.Micro850.bNewTile[2,3]",
"Controller.Micro850.Micro850.bNewTile[3,0]",
"Controller.Micro850.Micro850.bNewTile[3,1]",
"Controller.Micro850.Micro850.bNewTile[3,2]",
"Controller.Micro850.Micro850.bNewTile[3,3]",
Controller.Micro850.Micro850.Button.bDown,FALSE
Controller.Micro850.Micro850.Button.bLeft,FALSE
Controller.Micro850.Micro850.Button.bReset,FALSE
Controller.Micro850.Micro850.Button.bRight,FALSE
Controller.Micro850.Micro850.Button.bUp,FALSE
"Controller.Micro850.Micro850.diMergedArray[0,0]",FALSE
"Controller.Micro850.Micro850.diMergedArray[0,1]",FALSE
"Controller.Micro850.Micro850.diMergedArray[0,2]",FALSE
"Controller.Micro850.Micro850.diMergedArray[0,3]",FALSE
"Controller.Micro850.Micro850.diMergedArray[1,0]",FALSE
